year,state_name,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2019,Alaska,6343,69,1088,826,4360,21294,3563,15114,2617
2019,Alabama,25046,358,2068,3941,18679,131133,26079,92477,12577
2019,Arkansas,17643,242,2331,1557,13513,86250,18095,60735,7420
2019,Arizona,33141,365,3662,6410,22704,177638,28699,130788,18151
2019,California,174331,1690,14799,52301,105541,921114,152555,626802,141757
2019,Colorado,21938,218,3872,3663,14185,149189,20064,107012,22113
2019,Connecticut,6546,104,771,1929,3742,50862,6441,38457,5964
2019,District of Columbia,7403,166,345,2713,4179,30821,1843,26645,2333
2019,Delaware,4115,48,310,790,2967,21931,2968,17359,1604
2019,Florida,81270,1122,8456,16217,55475,460846,63396,358402,39048
2019,Georgia,36170,654,2922,7961,24633,252249,39506,188967,23776
2019,Hawaii,4042,48,765,1131,2098,40228,5340,29634,5254
2019,Iowa,8410,60,1164,863,6323,54699,11710,37847,5142
2019,Idaho,4000,35,809,155,3001,21793,3927,16295,1571
2019,Illinois,51561,832,6078,12464,32187,233984,34433,180776,18775
2019,Indiana,24966,377,2475,5331,16783,132694,21795,97176,13723
2019,Kansas,11968,105,1416,1293,9154,67428,9984,50165,7279
2019,Kentucky,9701,221,1572,2161,5747,84769,15443,59130,10196
2019,Louisiana,25537,544,2273,4025,18695,146993,26918,109359,10716
2019,Massachusetts,22578,152,2204,3613,16609,81317,12341,62844,6132
2019,Maryland,27456,542,1913,9203,15798,117901,16862,89780,11259
2019,Maine,1548,20,516,188,824,16743,2350,13667,726
2019,Michigan,43686,556,7235,5350,30545,158296,28572,111980,17744
2019,Minnesota,13332,117,2448,3149,7618,117236,15927,90092,11217
2019,Missouri,30380,568,2917,4959,21936,161946,26414,114460,21072
2019,Mississippi,8272,332,747,1700,5493,70707,18660,46300,5747
2019,Montana,4328,27,624,205,3472,23440,2887,18176,2377
2019,North Carolina,38995,632,3247,7599,27517,247236,54447,174728,18061
2019,North Dakota,2169,24,437,179,1529,15066,2608,10666,1792
2019,Nebraska,5821,45,1253,792,3731,39449,4745,29719,4985
2019,New Hampshire,2074,33,590,313,1138,16442,1717,13832,893
2019,New Jersey,18375,262,1531,5730,10852,118637,16399,91902,10336
2019,New Mexico,17450,181,1288,2341,13640,65269,14610,41702,8957
2019,Nevada,15210,143,2161,3286,9620,71525,15510,44755,11260
2019,New York,69764,558,6583,18068,44555,267155,27600,226851,12704
2019,Ohio,34269,538,5731,8846,19154,240291,43894,177725,18672
2019,Oklahoma,17086,266,2268,2369,12183,112587,26577,72632,13378
2019,Oregon,11995,116,1778,2276,7825,115170,14724,85261,15185
2019,Pennsylvania,39228,669,4351,9743,24465,179665,23354,143921,12390
2019,Rhode Island,2342,25,491,418,1408,16259,2321,12580,1358
2019,South Carolina,26323,464,2460,3294,20105,151389,27461,108953,14975
2019,South Dakota,3530,17,642,195,2676,15667,2646,11265,1756
2019,Tennessee,40647,498,2813,6150,31186,181153,29869,132104,19180
2019,Texas,121474,1409,14824,28988,76253,693204,113902,501813,77489
2019,Utah,7553,72,1822,1125,4534,69546,8871,53937,6738
2019,Virginia,17753,426,2816,3524,10987,140213,13900,116044,10269
2019,Vermont,1262,11,278,71,902,8888,1275,7315,298
2019,Washington,22377,198,3332,5147,13700,204224,34540,145282,24402
2019,Wisconsin,17070,175,2261,2991,11643,85672,12667,65620,7385
2019,West Virginia,5674,78,754,378,4464,28376,5891,20066,2419
2019,Wyoming,1258,13,324,67,854,9093,1396,6984,713
2019,,1245410,16425,139815,267988,821182,6925677,1117696,5086096,721885
